query,intent_label
帮我查一下今天有没有ByteDance的招聘信息,SEARCH
java 21最新的版本号是多少,SEARCH
现在spring boot官网推荐的版本是哪个,SEARCH
搜索一下最近有没有关于AI Agent的新闻,SEARCH
MLB今天的比赛结果,SEARCH
帮我算一下从这里到机场打车大概多少钱,SEARCH
帮我查下这周深圳有没有演唱会,SEARCH
帮我查一下明天上海到北京的高铁票,SEARCH
帮我查下附近有没有24小时营业的便利店,SEARCH
现在Boardman这边天气怎么样,SEARCH
帮我查一下附近有没有健身房还在营业,SEARCH
现在最新上映的电影有哪些,SEARCH
帮我看看附近哪家餐厅评分比较高,SEARCH
推荐几本最近值得看的小说,SEARCH
推荐一家附近好吃的餐厅,SEARCH
最近有什么好看的电影,SEARCH
这附近有什么好玩的地方,SEARCH
今天的股市行情怎么样,SEARCH
现在外面在下雨吗,SEARCH
帮我查一下今天我们系统deploy了多少次,SEARCH
看看这周的接口报错日志里哪个出现最多,SEARCH
帮我查一下数据库里这个用户最近的订单记录,SEARCH
看下Jira里这个sprint还有多少未完成的任务,SEARCH
java和python哪个更适合写Agent,TECH_COMPARE
redis和mysql的区别是什么,TECH_COMPARE
线程池要不要用动态扩容,TECH_COMPARE
Spring和Quarkus该选哪个做微服务,TECH_COMPARE
fastText和bge-small-zh做意图分类哪个更合适,TECH_COMPARE
用RocketMQ还是Kafka做消息队列比较好,TECH_COMPARE
TCC和Saga这两种分布式事务方案怎么选,TECH_COMPARE
ONNX和TensorRT在推理性能上差别大吗,TECH_COMPARE
微服务架构和单体架构在中小团队里哪个更划算,TECH_COMPARE
DJL和ONNX Runtime做Java侧推理集成哪个坑更少,TECH_COMPARE
用Docker还是直接裸机部署你怎么看,TECH_COMPARE
MongoDB和PostgreSQL存这种业务数据选哪个,TECH_COMPARE
gRPC和HTTP REST接口性能差距明显吗,TECH_COMPARE
用Vue还是React做这个管理后台,TECH_COMPARE
同步调用和异步消息这个场景该怎么选,TECH_COMPARE
ZooKeeper和Nacos做注册中心哪个更适合现在的规模,TECH_COMPARE
自建ES集群划算还是用云厂商托管的,TECH_COMPARE
乐观锁和悲观锁在高并发下哪个更稳,TECH_COMPARE
用JWT还是Session做鉴权比较合适,TECH_COMPARE
Hexagonal架构和传统三层架构相比有什么优势,TECH_COMPARE
这个场景下选CDC还是定时轮询同步数据,TECH_COMPARE
K8s和Docker Swarm做容器编排该怎么取舍,TECH_COMPARE
用本地缓存还是分布式缓存性能差多少,TECH_COMPARE
MyBatis和JPA这两个ORM框架你更推荐哪个,TECH_COMPARE
Elasticsearch和Solr做全文检索哪个更省心,TECH_COMPARE
长连接和短连接在这个场景下怎么选更合理,TECH_COMPARE
AOP切面和拦截器实现日志埋点哪种侵入性更小,TECH_COMPARE
用Maven还是Gradle构建这个项目比较省心,TECH_COMPARE
RESTful和GraphQL这两种API风格哪个更适合我们现在的业务,TECH_COMPARE
分库分表和读写分离应该先上哪个,TECH_COMPARE
我家猫一直挠家具怎么办,CHAT
这周末适合出去玩吗,CHAT
我有点感冒了吃点什么药比较好,CHAT
周末去爬山要带些什么装备,CHAT
今天适合穿什么衣服出门,CHAT
我想换个发型有什么建议吗,CHAT
这个周末有什么家庭聚餐的好去处,CHAT
我想养一只狗新手适合养什么品种,CHAT
帮我看下今晚吃点什么比较好,CHAT
工作压力大该怎么调节,CHAT
周末一个人在家可以做点什么,CHAT
学一门新语言有什么好的方法,CHAT
早上起不来该怎么调整作息,CHAT
想换个工作方向该怎么规划,CHAT
最近总是失眠有什么改善的办法,CHAT
想开始健身新手应该怎么入门,CHAT
朋友过生日送什么礼物比较合适,CHAT
想培养一个爱好有什么推荐的,CHAT
长时间对着电脑眼睛很累怎么缓解,CHAT
想学做饭新手适合从哪道菜开始,CHAT
出差路上时间比较长能做点什么打发时间,CHAT
跟同事相处有点尴尬怎么破冰比较好,CHAT
想存钱但总是管不住自己有什么办法,CHAT
周末想宅在家有什么值得做的事,CHAT
压力大的时候你一般会建议做点什么,CHAT
推荐几本好看的小说,CHAT
推荐一家好吃的餐厅,CHAT
有什么好看的电影,CHAT
推荐几首适合跑步听的歌,CHAT
推荐一本适合入门理财的书,CHAT
这段Java代码报NullPointerException帮我看下哪里的问题,CODE
spring boot启动的时候一直报bean循环依赖怎么解决,CODE
这个redis连接池配置有没有问题,CODE
ConcurrentHashMap在JDK8里是怎么实现线程安全的,CODE
帮我debug一下这段递归函数输出结果不对,CODE
这个SQL查询为什么这么慢帮我看看,CODE
这段代码有内存泄漏吗帮我排查一下,CODE
为什么这个接口偶尔会超时,CODE
这个线程死锁了帮我分析下原因,CODE
我这个正则表达式匹配不上帮我改一下,CODE
这个Bean注入失败报NoSuchBeanDefinitionException怎么修,CODE
这段代码跑出来StackOverflowError是哪里的问题,CODE
帮我看看这个Maven依赖冲突怎么解决,CODE
这个分页查询SQL写得有问题吗,CODE
为什么这个单元测试老是跑不过,CODE
这个JSON序列化报错帮我看下,CODE
这段Kafka消费者代码消息消费重复了怎么排查,CODE
这个Dubbo接口调用一直超时是什么原因,CODE
volatile关键字到底是怎么保证可见性的,CODE
这个CompletableFuture链式调用为什么没生效,CODE
帮我看下这个事务为什么没回滚,CODE
这段代码CPU占用率很高帮我分析一下,CODE
这个Spring AOP切面为什么没切进去,CODE
为什么我这个@Transactional注解不生效,CODE
这个GC日志帮我看看是不是有问题,CODE
帮我看看这段排序算法的时间复杂度对不对,CODE
这个Netty的Channel为什么一直处于半连接状态,CODE
这段代码为什么会触发ConcurrentModificationException,CODE
这个@Async异步方法为什么没有生效,CODE
帮我看看这个Builder模式写得对不对,CODE
为什么这段代码在高并发下数据会错乱,CODE
这个Redis分布式锁为什么会出现死锁,CODE
这段代码反序列化失败是什么原因,CODE
为什么这个接口返回的数据少了一条,CODE
这个MyBatis的XML映射文件报错了帮我看下,CODE
这段代码内存占用越来越高是哪里没释放,CODE
为什么这个定时任务没有按时触发,CODE
这个枚举类的序列化有问题帮我看看,CODE
这段Python脚本运行报IndexError怎么修,CODE
这个Go协程为什么会panic,CODE
这段Linux shell脚本执行失败了帮我看看,CODE
为什么这个Docker容器一直在重启,CODE
这个Nginx配置转发规则不对帮我改一下,CODE
这段代码为什么会出现NumberFormatException,CODE
这个接口返回了500错误帮我排查下日志,CODE
为什么这个继承关系会导致重写失败,CODE
这段代码用了synchronized为什么还是不安全,CODE
这个枚举的valueOf方法为什么抛异常,CODE
为什么我这个泛型类型擦除报错了,CODE
这段代码的equals和hashCode重写有问题吗,CODE
为什么这个@Value注入的配置值是null,CODE
这个抽象类为什么不能被实例化报错了,CODE
这段代码里的lambda表达式语法报错,CODE
为什么这个接口的默认方法没有被调用,CODE
这个@Scheduled定时任务执行了两次是什么原因,CODE
这段代码用了static变量为什么线程间数据互相影响,CODE
为什么我这个RestTemplate调用第三方接口一直失败,CODE
这个@Cacheable注解为什么没有命中缓存,CODE
这段代码的死循环是哪里写错了,CODE
为什么这个枚举类在反射时报错,CODE
这个WebSocket连接老是莫名其妙断开是什么原因,CODE
帮我看看这段二分查找算法边界条件对不对,CODE
这个流式处理Stream.collect报ConcurrentModificationException,CODE
为什么这个@PostConstruct方法没有执行,CODE
这段代码用了ThreadLocal但是值没传过去,CODE
这个feign调用第三方接口超时怎么配置重试,CODE
为什么我这个自定义注解的AOP没有生效,CODE
这段代码里的Optional使用方式对不对,CODE
为什么这个@Valid校验注解没有触发,CODE
这个分布式ID生成器偶尔会重复是哪里的问题,CODE
帮我看看这段代码有没有SQL注入风险,CODE
这个XML配置文件的命名空间报错了,CODE
为什么这个数组越界异常的堆栈信息看不出具体位置,CODE
这段代码用了CountDownLatch为什么一直等待,CODE
为什么我这个Bean的初始化顺序不对,CODE
这个跨域配置CORS一直不生效是哪里的问题,CODE
帮我看下这段代码为什么触发了FullGC,CODE
为什么这个接口幂等性校验没生效,CODE
这段代码的位运算结果跟预期不一样,CODE
帮我写一封请假邮件明天要请假一天,WRITE
把这段话润色一下让它更正式一点,WRITE
帮我写一份本周工作周报,WRITE
这篇文案能不能改写得更口语化,WRITE
帮我写个朋友圈文案配图是公司团建,WRITE
帮我写一封感谢客户的邮件,WRITE
这段自我介绍帮我改得更简洁一点,WRITE
帮我写一篇产品发布的通知公告,WRITE
帮我把这封邮件改得语气更委婉一些,WRITE
帮我写一份会议纪要,WRITE
帮我写一段年会主持词开场白,WRITE
这段话翻来覆去说不清楚帮我重新组织一下,WRITE
帮我写一份辞职信措辞要得体,WRITE
帮我把这篇文章的标题改得更吸引人,WRITE
帮我写一段产品介绍文案突出性价比,WRITE
这份简历的自我评价部分帮我润色一下,WRITE
帮我写一封邀请函邀请客户参加发布会,WRITE
帮我把这段技术文档的语言改得更通俗易懂,WRITE
帮我写一篇朋友生日祝福语,WRITE
这篇报告的结尾帮我写得更有力一点,WRITE
帮我写一段道歉声明态度要诚恳,WRITE
帮我写一份团队建设活动的策划文案,WRITE
帮我把这句话改写得更书面化,WRITE
帮我写一封催款邮件语气要礼貌但坚定,WRITE
帮我写一段公司年终总结的开场白,WRITE
这段广告语帮我改得更朗朗上口,WRITE
帮我写一份入职欢迎邮件,WRITE
帮我把这段口语化的描述改成正式的书面语,WRITE
帮我写一篇产品使用指南的引言部分,WRITE
帮我写一段送别同事的祝福语,WRITE
这篇推文帮我改得更有传播力,WRITE
